uuid,username,email,password,created_at
f18dfff0-3d56-4aa9-9843-af96aaf4db5e,vale.fernandez971,vale.fernandez971@example.com,12154136,2024-01-15 15:11:29
0aa45eb3-8e41-4dae-8cc8-7aa914783b91,rocio.torres295,rocio.torres295@example.com,68704908,2023-02-27 11:28:45
1c1004e9-3726-4a3f-bbc8-cd6a8c2ef11b,tomas.flores950,tomas.flores950@example.com,77490133,2023-04-14 06:32:33
cdbf9eb8-d4ff-4c09-99b8-9b49b1b3a73c,tomas.diaz601,tomas.diaz601@example.com,75488105,2023-05-05 07:01:33
b58a60c9-16d0-42ba-af21-94df2a9bee82,vale.torres791,vale.torres791@example.com,59154399,2023-08-18 15:44:10
b10307dd-d433-48f1-9afb-2db4e86fac99,ana.diaz588,ana.diaz588@example.com,59118601,2024-12-26 17:03:37
6d71c873-5dd8-42fe-8ce1-66c396587dee,carla.perez442,carla.perez442@example.com,89432512,2023-03-21 16:42:09
6bc6a364-7123-4cf2-9b1e-8e7306d2ff1e,nico.alvarez974,nico.alvarez974@example.com,76846537,2023-07-24 21:56:21
5637c335-8077-4c33-ab79-b8c8a56130e5,vale.romero480,vale.romero480@example.com,90439324,2024-08-01 03:34:19
4a676904-1ad8-4540-87b7-ab4e6d1b7f07,agustin.torres654,agustin.torres654@example.com,78378198,2023-12-29 14:38:44
9ca65a58-18ad-454e-a6d3-de8a3972fa87,rocio.martinez29,rocio.martinez29@example.com,80566458,2023-02-12 04:02:34
06793c83-cad7-49e7-8739-e50bf3c1e4e8,tomas.garcia676,tomas.garcia676@example.com,17778639,2023-09-24 08:32:22
fe26f141-5ce1-4f35-8f1d-63de105257f9,camila.martinez694,camila.martinez694@example.com,89679967,2023-06-27 03:48:03
54ee76a3-b37b-4612-934e-23319823e8e2,sofia.romero116,sofia.romero116@example.com,92160530,2023-04-06 03:55:21
83111b61-f75d-40fa-832a-c3197e5a4561,nico.torres893,nico.torres893@example.com,52012016,2023-04-20 11:29:31
7e79fa15-e693-4ba9-9af8-ac4df73bf27f,agustin.diaz770,agustin.diaz770@example.com,33891675,2023-07-25 10:23:11
c405a423-5663-4862-9555-c50390ffd99c,martin.romero377,martin.romero377@example.com,12378727,2023-08-28 01:47:18
0bbbc893-2f97-464f-ac0b-74c7d8e9346e,juli.gomez335,juli.gomez335@example.com,78533353,2024-08-03 11:22:52
162d4b6c-e755-41df-b09a-da97e2fb37f1,ana.alvarez692,ana.alvarez692@example.com,64163985,2023-02-23 08:48:18
c1995f2b-a12a-4372-9a61-328cdc076d05,carla.alvarez275,carla.alvarez275@example.com,23224103,2024-02-22 01:24:59
33b98b87-7314-4d87-9096-0ef7d2c5881d,vale.rodriguez865,vale.rodriguez865@example.com,40575213,2024-03-23 14:15:41
cc6f32a0-a716-415c-940d-aee631abba59,maria.martinez486,maria.martinez486@example.com,52659128,2024-11-27 20:58:31
650fc17b-b3e5-4a81-bfa4-06f19f945a06,vale.fernandez692,vale.fernandez692@example.com,39331553,2023-10-15 17:46:19
203359c3-b569-45b1-8a93-2c43395238f6,juli.martinez657,juli.martinez657@example.com,53546179,2023-01-01 19:57:38
146bb4db-02e1-4e32-8284-47fdc32c1301,maria.gomez269,maria.gomez269@example.com,64974956,2024-04-24 09:34:51
2ce1ecd8-1887-4e8c-9dc5-0603d35fc67a,juli.torres100,juli.torres100@example.com,28897650,2024-07-25 10:39:30
3a83e3f4-4909-44af-91e0-cb5f4bd992cc,lucas.perez863,lucas.perez863@example.com,39472949,2024-09-26 08:39:48
69fb470e-1b6f-4f0f-b012-d63cf7d1209e,maria.flores834,maria.flores834@example.com,48445342,2023-12-24 07:58:52
01165b5f-9b87-446c-9038-dcb108d01ede,fede.perez830,fede.perez830@example.com,22981562,2023-09-08 03:51:33
2321ec3b-be0f-48f4-bc40-1aa1606e82f3,fede.lopez160,fede.lopez160@example.com,70661352,2024-10-03 14:47:13
36376fe2-03c6-4d3d-a57e-4dd3e66f343b,juli.alvarez555,juli.alvarez555@example.com,41057942,2024-07-24 23:59:25
ac78d8b4-fee0-4cb5-b7dd-bf21ffa3a196,ana.diaz762,ana.diaz762@example.com,91438892,2023-10-06 21:11:58
e80fa187-79ba-46bc-9123-ac08edbffa5b,diego.fernandez561,diego.fernandez561@example.com,57395895,2024-09-09 09:16:10
9037a70c-2745-406d-8447-ed532da57cd4,rocio.torres171,rocio.torres171@example.com,16727951,2024-09-01 14:09:20
397e949e-b83b-451e-9f52-6b61b2bd044a,sofia.alvarez265,sofia.alvarez265@example.com,65382558,2024-07-05 12:28:20
b91249ff-a009-42f0-8ad9-d892eb591408,diego.torres417,diego.torres417@example.com,93182777,2023-01-07 22:56:53
